ORDER_NO,ORDER_DATE,ENTRY_TYPE,LEVEL_OF_SERVICE,ORIGINAL_TOTAL_AMOUNT,STATUS_NAME,EXTN_ORG_REQ_SHIP_DATE,EXTN_ET_FULFILMENT,SHIPNODE_KEY,ORDER_DATE_COL,Dia_Orden,Mes_Orden,Semana_Orden,DiaSemana_Orden,Hora_Orden,SHIPNODE_KEY2,COD_SUC,CIUDAD_MUNICIPIO,GERENTE DE ZONA,Localidad,CiudadB,numorden,iniciado,asignado,llego_punto,salio_punto,llego_cliente,distancia_km,Finalizado Fallido,Valor Servicio,Proveedor,Estado UM,numorden2,TiempoTotal,TiempoTotal_min,TiempoUM,TiempoUM_min,Tiempo_Reprogramacion,Tiempo_Reprogramacion_min,CumpleTiempoTotal1h,CumpleTiempoTotal90min,CumpleTiempoUM,Categoria 6km
COCC10675358,2022-04-21 18:35:00,Call Center,SameDay,65520.00,Delivered To Customer,2022-05-25T17:28:32+00:00,N,COCV_578,2022-04-21 13:35:00,21,4,16,4,13,578,578,Cali,,,Cali,COCC10675358_101595156_FCVColombia,2022-05-25 11:43:32,2022-05-25 11:35:11.000,2022-05-25 11:35:22.000,2022-05-25 11:39:34.000,2022-05-25 11:58:57.000,3.0,No,4679.14,MU,Finalizado,COCC10675358,33 days 22:23:57,48863.95,0 days 00:15:25,15.416666666666666,33 days 22:08:32,48848.53333333333,No Cumple,No Cumple,Cumple,Menor a 6km
COCC10667247,2022-04-18 22:07:33,Call Center,SameDay,104160.00,Delivered To Customer,2022-04-18T23:11:06+00:00,N,COCV_881,2022-04-18 17:07:33,18,4,16,1,17,881,881,Medellín,,,Medellín,COCC10667247_101438498_FCVColombia,2022-04-18 17:26:06,2022-04-18 17:32:51.356,2022-04-18 17:33:31.968,2022-04-18 17:35:50.728,2022-04-18 18:10:01.389,12.0,No,11600.0,Quick,Finalizado,COCC10667247,0 days 01:02:28.389000,62.473150000000004,0 days 00:43:55.389000,43.92315,0 days 00:18:33,18.55,No Cumple,No Cumple,No Cumple,Mayor a 6km
COCC10693268,2022-04-30 10:50:36,Call Center,SameDay,34968.00,Delivered To Customer,2022-04-30T11:49:42+00:00,N,COCV_545,2022-04-30 05:50:36,30,4,17,6,5,545,545,Bogotá,,,Bogotá,COCC10693268_101488088_FCVColombia,2022-04-30 06:04:42,2022-04-30 06:49:20.000,2022-04-30 06:55:43.000,2022-04-30 06:58:41.000,2022-04-30 07:29:57.000,1.0,Sí,31968.0,Quick,Finalizado,COCC10693268,0 days 01:39:21,99.35,0 days 01:25:15,85.25,0 days 00:14:06,14.1,No Cumple,No Cumple,No Cumple,Menor a 6km
COCC10693268,2022-04-30 10:50:36,Call Center,SameDay,34968.00,Delivered To Customer,2022-04-30T11:49:42+00:00,N,COCV_545,2022-04-30 05:50:36,30,4,17,6,5,545,545,Bogotá,,,Bogotá,COCC10693268_101488088_FCVColombia,2022-04-30 06:04:42,2022-04-30 06:49:20.000,2022-04-30 06:55:43.000,2022-04-30 06:58:41.000,2022-04-30 07:29:57.000,1.0,Sí,4400.0,Quick,Finalizado,COCC10693268,0 days 01:39:21,99.35,0 days 01:25:15,85.25,0 days 00:14:06,14.1,No Cumple,No Cumple,No Cumple,Menor a 6km
COCC10692403,2022-04-29 21:25:51,Call Center,SameDay,577022.00,Delivered To Customer,2022-04-29T22:27:15+00:00,N,COCV_573,2022-04-29 16:25:51,29,4,17,5,16,573,573,Bogotá,,,Bogotá,COCC10692403_101486082_FCVColombia,2022-04-29 16:42:15,2022-04-29 16:35:06.000,2022-04-29 16:41:58.000,2022-04-29 16:44:56.000,2022-04-29 16:47:33.000,4.0,No,5967.77,MU,Finalizado,COCC10692403,0 days 00:21:42,21.7,0 days 00:05:18,5.3,0 days 00:16:24,16.4,Cumple,Cumple,Cumple,Menor a 6km
COCC10692615,2022-04-29 22:25:51,Call Center,SameDay,454776.00,Delivered To Customer,2022-04-29T23:31:56+00:00,N,COCV_133,2022-04-29 17:25:51,29,4,17,5,17,133,133,Armenia,,,Otras ciudades,COCC10692615_101486450_FCVColombia,2022-04-29 18:01:57,2022-04-29 18:02:09.000,2022-04-29 18:16:49.000,2022-04-29 18:19:03.000,2022-04-29 18:21:17.000,2.0,No,5251.08,MU,Finalizado,COCC10692615,0 days 00:55:26,55.43333333333333,0 days 00:19:20,19.333333333333332,0 days 00:36:06,36.1,No Cumple,Cumple,Cumple,Menor a 6km
COCC10692795,2022-04-29 23:22:31,Call Center,SameDay,576522.00,Delivered To Customer,2022-04-30T00:21:21+00:00,N,COCV_816,2022-04-29 18:22:31,29,4,17,5,18,816,816,Cali,,,Cali,COCC10692795_101486715_FCVColombia,2022-04-29 18:36:21,2022-04-29 18:29:08.000,2022-04-29 18:30:15.000,2022-04-29 18:34:12.000,2022-04-29 18:46:10.000,4.0,No,6767.39,MU,Finalizado,COCC10692795,0 days 00:23:39,23.65,0 days 00:09:49,9.816666666666666,0 days 00:13:50,13.833333333333334,Cumple,Cumple,Cumple,Menor a 6km
COCC10681018,2022-04-24 20:45:46,Call Center,SameDay,349500.00,Delivered To Customer,2022-04-24T21:45:18+00:00,N,COCV_401,2022-04-24 15:45:46,24,4,16,7,15,401,401,Bogotá,,,Bogotá,COCC10681018_101463370_FCVCOLOMBIA,2022-04-24 17:52:44,2022-04-24 17:53:12.000,2022-04-24 17:53:17.000,2022-04-24 17:53:53.000,2022-04-24 18:16:02.000,7.952,No,9700.0,Picap,Finalizado,COCC10681018,0 days 02:30:16,150.26666666666668,0 days 00:23:18,23.3,0 days 02:06:58,126.96666666666667,No Cumple,No Cumple,Cumple,Mayor a 6km
COCC10681018,2022-04-24 20:45:46,Call Center,SameDay,349500.00,Delivered To Customer,2022-04-24T21:45:18+00:00,N,COCV_401,2022-04-24 15:45:46,24,4,16,7,15,401,401,Bogotá,,,Bogotá,COCC10681018_101463370_FCVColombia,2022-04-24 17:27:00,2022-04-24 18:14:36.000,2022-04-24 18:35:30.000,2022-04-24 18:43:44.000,2022-04-24 19:04:06.000,8.0,Sí,10217.12,MU,Finalizado,COCC10681018,0 days 03:18:20,198.33333333333334,0 days 01:37:06,97.1,0 days 01:41:14,101.23333333333333,No Cumple,No Cumple,No Cumple,Mayor a 6km
COCC10668032,2022-04-19 14:04:51,Call Center,SameDay,99480.00,Delivered To Customer,2022-04-19T15:05:09+00:00,N,COCV_171,2022-04-19 09:04:51,19,4,16,2,9,171,171,Bogotá,,,Bogotá,COCC10668032_101440650_FCVColombia,2022-04-20 08:43:00,2022-04-20 08:44:00.000,2022-04-20 08:49:23.000,2022-04-20 09:14:54.000,2022-04-20 09:53:41.000,8.0,No,9229.61,MU,Finalizado,COCC10668032,1 days 00:48:50,1488.8333333333333,0 days 01:10:41,70.68333333333334,0 days 23:38:09,1418.15,No Cumple,No Cumple,No Cumple,Mayor a 6km
